site_number,station_id,station,network,station_class,subbasin,landscape,longitude,latitude,elevation_m,reported_observation_duration,parsed_workbooks,parsed_first_timestamp,parsed_last_timestamp,source_status,first_year,last_year,station_years,median_valid_days,median_valid_eight_day_bins,final_year_span,final_status,metadata_source
1,jingyangling,Jingyangling,Heihe,ordinary,upstream,alpine meadow,101.12,37.84,3750.0,Aug. 2013-present,13,2013-08-15 13:20:00.000,2024-12-31 23:49:59.995,parsed,2014.0,2024.0,5,101.0,19.0,2014-2024,Final QC,"Liu et al. (2018), Table 1"
2,e_bao,E'bao,Heihe,ordinary,upstream,alpine meadow,100.92,37.95,3294.0,June 2013-Oct. 2016,4,2013-06-11 06:49:59.995,2016-09-29 12:50:01.400,parsed,2013.0,2016.0,4,102.0,17.5,2013-2016,Final QC,"Liu et al. (2018), Table 1"
3,huangcaogou,Huangcaogou,Heihe,ordinary,upstream,alpine meadow,100.73,38.0,3137.0,June 2013-Apr. 2015,4,2013-06-07 13:50:00.000,2015-04-17 14:50:00.000,parsed,2013.0,2014.0,2,118.0,19.0,2013-2014,Final QC,"Liu et al. (2018), Table 1"
4,arou_sunny_slope,Arou Sunny Slope,Heihe,ordinary,upstream,alpine meadow,100.52,38.09,3529.0,Aug. 2013-Aug. 2015,3,2013-08-08 11:20:00.000,2015-09-09 16:30:00.000,"ParseError: not well-formed (invalid token): line 2, column 7628844; parsed",2013.0,2015.0,3,67.0,13.0,2013-2015,Final QC,"Liu et al. (2018), Table 1"
5,arou,Arou,Heihe,superstation,upstream,subalpine meadow,100.46,38.05,3033.0,June 2008-present,12,2012-10-14 16:30:00.000,2024-12-31 23:49:59.995,parsed,2013.0,2024.0,12,115.0,19.0,2013-2024,Final QC,"Liu et al. (2018), Table 1"
6,arou_shady_slope,Arou Shady Slope,Heihe,ordinary,upstream,alpine meadow,100.41,37.98,3536.0,Aug. 2013-Aug. 2015,3,2013-08-08 15:50:00.000,2014-12-31 23:49:59.995,parsed,2013.0,2014.0,2,78.5,14.0,2013-2014,Final QC,"Liu et al. (2018), Table 1"
7,yakou,Yakou,Heihe,ordinary,upstream,alpine meadow,100.24,38.01,4148.0,Jan. 2014-present,10,2015-09-18 12:40:00.000,2024-12-31 23:50:02.355,parsed,2016.0,2024.0,9,106.0,19.0,2016-2024,Final QC,"Liu et al. (2018), Table 1"
8,huangzangsi,Huangzangsi,Heihe,ordinary,upstream,wheat,100.19,38.23,2612.0,June 2013-Apr. 2015,4,2013-06-10 18:09:59.995,2015-04-16 14:00:00.000,parsed,2013.0,2014.0,2,113.5,18.5,2013-2014,Final QC,"Liu et al. (2018), Table 1"
9,dashalong,Dashalong,Heihe,ordinary,upstream,marsh alpine meadow,98.94,38.84,3739.0,Aug. 2013-present,12,2013-08-11 14:40:00.000,2024-12-31 23:50:00.000,parsed,2014.0,2023.0,10,123.5,19.0,2014-2023,Final QC,"Liu et al. (2018), Table 1"
10,guantan,Guantan,Heihe,ordinary,upstream,Qinghai spruce,100.25,38.53,2835.0,2008-2011,0,,,,,,0,,,--,No IRT workbook,"Liu et al. (2018), Table 1"
11,huazhaizi_desert_steppe,Huazhaizi Desert Steppe,Heihe,ordinary,midstream,Kalidium foliatum desert,100.32,38.77,1731.0,June 2012-present,12,2012-09-22 00:00:01.820,2024-12-31 23:50:00.000,parsed,2015.0,2016.0,2,113.0,18.5,2015-2016,Final QC,"Liu et al. (2018), Table 1"
12,shenshawo_sandy_desert,Shenshawo Sandy Desert,Heihe,ordinary,midstream,sandy desert,100.49,38.79,1594.0,June 2012-Apr. 2015,4,2012-09-01 00:00:00.000,2015-04-12 13:09:59.995,parsed,2012.0,2014.0,3,114.0,19.0,2012-2014,Final QC,"Liu et al. (2018), Table 1"
13,heihe_remote_sensing,Heihe Remote Sensing,Heihe,ordinary,midstream,grassland,100.48,38.83,1560.0,Aug. 2014-present,9,2016-01-01 00:00:00.000,2024-12-31 23:49:59.995,parsed,2016.0,2024.0,9,115.0,19.0,2016-2024,Final QC,"Liu et al. (2018), Table 1"
