qc_set,protocol,product,station_id,station_en,window,n,pearson_r,rmse_c,mae_c,bias_c,ubrmse_c
final,k065_pm030,ChinaTherm30,arou,Arou,center,12,0.7535251079735429,1.638089657390631,1.491063988095238,-1.491063988095238,0.6782815853726819
final,k065_pm030,ChinaTherm30,arou,Arou,3x3,12,0.7334347081642782,1.7173694462566493,1.5685639880952384,-1.5685639880952384,0.6992602020611719
final,k065_pm030,ChinaTherm30,arou,Arou,5x5,12,0.7255590520440213,1.7095710462446692,1.5552306547619053,-1.5552306547619053,0.7098526415017052
final,k065_pm030,ChinaTherm30,arou,Arou,9x9,12,0.7276130326850413,1.7129791872314886,1.560230654761905,-1.560230654761905,0.7070912245456654
final,k065_pm030,ChinaTherm30,arou,Arou,33x33,12,0.7257186025615879,1.7633850298073213,1.6143973214285714,-1.6143973214285714,0.7093997828536607
final,k065_pm030,ChinaTherm30,arou_shady_slope,Arou Shady Slope,center,2,-1.0,1.4920255638571105,1.131406250000003,0.9726562499999982,1.131406250000003
final,k065_pm030,ChinaTherm30,arou_shady_slope,Arou Shady Slope,3x3,2,-1.0,1.4447370982995922,1.1514062500000026,0.8726562499999968,1.1514062500000026
final,k065_pm030,ChinaTherm30,arou_shady_slope,Arou Shady Slope,5x5,2,-1.0,1.398872191518269,1.1314062500000013,0.8226562499999979,1.1314062500000013
final,k065_pm030,ChinaTherm30,arou_shady_slope,Arou Shady Slope,9x9,2,-0.9999999999999999,1.2820429139475513,1.0914062500000021,0.6726562499999993,1.0914062500000021
final,k065_pm030,ChinaTherm30,arou_shady_slope,Arou Shady Slope,33x33,2,-1.0,1.1220278665002614,1.1214062500000015,-0.03734375000000334,1.1214062500000015
final,k065_pm030,ChinaTherm30,arou_sunny_slope,Arou Sunny Slope,center,3,-0.47861550926820146,1.5833453216377287,1.316729166666666,0.339729166666667,1.5464690429711336
final,k065_pm030,ChinaTherm30,arou_sunny_slope,Arou Sunny Slope,3x3,3,-0.5274440530477632,1.6639041411347644,1.4500625000000003,0.21306250000000068,1.6502064604100808
final,k065_pm030,ChinaTherm30,arou_sunny_slope,Arou Sunny Slope,5x5,3,-0.5143054683039758,1.6450678529730678,1.4600625000000005,0.15639583333333343,1.6376167391063732
final,k065_pm030,ChinaTherm30,arou_sunny_slope,Arou Sunny Slope,9x9,3,-0.5289806830329059,1.640036556773075,1.496729166666667,0.039729166666666295,1.6395552753317153
final,k065_pm030,ChinaTherm30,arou_sunny_slope,Arou Sunny Slope,33x33,3,-0.515878847059308,1.9179586346474609,1.8300625000000004,-1.0469374999999996,1.6070118839985292
final,k065_pm030,ChinaTherm30,bajitan_gobi,Bajitan Gobi,center,3,-0.7364007784727146,3.0208929979135224,2.9109598214285697,-0.7457068452380918,2.9274076938151268
final,k065_pm030,ChinaTherm30,bajitan_gobi,Bajitan Gobi,3x3,3,-0.1967521950386154,2.443033160376685,2.3042931547619028,-0.35904017857142395,2.416505984447689
final,k065_pm030,ChinaTherm30,bajitan_gobi,Bajitan Gobi,5x5,3,-0.21014130576610193,2.4870780951292057,2.3509598214285696,-0.45904017857142776,2.444348495147251
final,k065_pm030,ChinaTherm30,bajitan_gobi,Bajitan Gobi,9x9,3,-0.3500544531463325,2.801225791223259,2.6376264880952363,-0.8990401785714255,2.653034619210355
final,k065_pm030,ChinaTherm30,bajitan_gobi,Bajitan Gobi,33x33,3,-0.28636815004655036,2.6669007078995883,2.520959821428569,-0.7557068452380923,2.5575899886134246
final,k065_pm030,ChinaTherm30,barren_land,Barren Land,center,1,,7.835467812499999,7.835467812499999,-7.835467812499999,0.0
final,k065_pm030,ChinaTherm30,barren_land,Barren Land,3x3,1,,5.7904678124999975,5.7904678124999975,-5.7904678124999975,0.0
final,k065_pm030,ChinaTherm30,barren_land,Barren Land,5x5,1,,3.8554678124999953,3.8554678124999953,-3.8554678124999953,0.0
final,k065_pm030,ChinaTherm30,barren_land,Barren Land,9x9,1,,3.8554678124999953,3.8554678124999953,-3.8554678124999953,0.0
final,k065_pm030,ChinaTherm30,barren_land,Barren Land,33x33,1,,10.785467812499995,10.785467812499995,-10.785467812499995,0.0
final,k065_pm030,ChinaTherm30,cropland,Cropland,center,2,1.0,8.406568876206757,8.366214285714284,8.366214285714284,0.8227142857142855
final,k065_pm030,ChinaTherm30,cropland,Cropland,3x3,2,1.0,10.677763154551322,10.641214285714282,10.641214285714282,0.8827142857142878
final,k065_pm030,ChinaTherm30,cropland,Cropland,5x5,2,1.0,12.019805987814191,11.996214285714286,11.996214285714286,0.7527142857142852
final,k065_pm030,ChinaTherm30,cropland,Cropland,9x9,2,1.0,12.378515903964166,12.356214285714282,12.356214285714282,0.7427142857142837
