station_id,station_en,station_zh,subbasin,landscape,year,orbit_period,valid_days_consensus,valid_days_any,valid_eight_day_bins_consensus,paired_sensor_days,median_sensor_difference_c,p95_sensor_difference_c,paired_sensor_diagnostic_available,station_year_sensor_consistent,strict_qc_status,qc_rule,ground_annual_consensus_c,chinatherm30_median_3x3_c,chinatherm30_minus_ground_3x3_c
arou,Arou,阿柔,upstream,subalpine meadow,2013,through_2020,114,114,19,114,0.0700000000000002,0.1984999999999995,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,25.83,23.9,-1.9299999999999995
arou,Arou,阿柔,upstream,subalpine meadow,2014,through_2020,116,116,19,116,0.08,0.2404999999999999,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,23.0025,21.57,-1.432500000000001
arou,Arou,阿柔,upstream,subalpine meadow,2015,through_2020,118,118,19,118,0.1249999999999982,0.3313500000000014,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,23.475,22.27,-1.2050000000000018
arou,Arou,阿柔,upstream,subalpine meadow,2016,through_2020,129,129,19,129,0.1099999999999994,0.3210000000000003,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,25.39107142857143,23.72,-1.6710714285714303
arou,Arou,阿柔,upstream,subalpine meadow,2017,through_2020,106,106,19,106,0.1174999999999996,0.2987500000000005,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,25.338928571428568,22.05,-3.288928571428567
arou,Arou,阿柔,upstream,subalpine meadow,2018,through_2020,115,115,19,115,0.1499999999999985,0.2950000000000008,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,25.493333333333336,24.0,-1.4933333333333358
arou,Arou,阿柔,upstream,subalpine meadow,2019,through_2020,114,114,19,114,0.1574999999999997,0.2599999999999998,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,25.22571428571429,23.18,-2.04571428571429
arou,Arou,阿柔,upstream,subalpine meadow,2020,through_2020,116,116,19,116,0.1525000000000002,0.2962499999999994,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,23.17833333333333,22.25,-0.928333333333331
arou,Arou,阿柔,upstream,subalpine meadow,2021,2021_2024,115,115,19,115,0.1650000000000009,0.4059999999999989,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,23.288125,22.91,-0.3781250000000007
arou,Arou,阿柔,upstream,subalpine meadow,2022,2021_2024,99,99,19,99,0.200000000000001,0.3599999999999994,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,24.72,23.62,-1.099999999999998
arou,Arou,阿柔,upstream,subalpine meadow,2023,2021_2024,117,117,19,117,0.1850000000000005,0.391,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,25.548928571428572,24.27,-1.2789285714285723
arou,Arou,阿柔,upstream,subalpine meadow,2024,2021_2024,108,108,19,108,0.1425,0.3899999999999999,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,25.000833333333333,22.93,-2.070833333333333
arou_shady_slope,Arou Shady Slope,阿柔阴坡,upstream,alpine meadow,2013,through_2020,62,62,11,62,1.6850000000000005,2.2807499999999994,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,19.7459375,21.77,2.024062499999999
arou_shady_slope,Arou Shady Slope,阿柔阴坡,upstream,alpine meadow,2014,through_2020,95,95,17,95,0.4900000000000002,1.685499999999998,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,19.928750000000004,19.65,-0.2787500000000058
arou_sunny_slope,Arou Sunny Slope,阿柔阳坡,upstream,alpine meadow,2013,through_2020,62,62,11,62,0.2149999999999998,0.3397499999999998,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,19.5553125,22.05,2.4946875000000013
arou_sunny_slope,Arou Sunny Slope,阿柔阳坡,upstream,alpine meadow,2014,through_2020,95,95,18,95,0.360000000000003,0.7715000000000001,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,19.903,19.4,-0.5030000000000001
arou_sunny_slope,Arou Sunny Slope,阿柔阳坡,upstream,alpine meadow,2015,through_2020,67,67,13,67,0.1500000000000003,0.6034999999999984,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,21.2225,19.87,-1.3524999999999991
bajitan_gobi,Bajitan Gobi,八一滩戈壁,midstream,Reaumuria desert,2012,through_2020,69,69,10,69,0.6499999999999986,0.9909999999999988,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,35.782120535714284,38.7,2.9178794642857184
bajitan_gobi,Bajitan Gobi,八一滩戈壁,midstream,Reaumuria desert,2013,through_2020,116,116,19,116,0.8550000000000004,1.576249999999999,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,40.357499999999995,39.2,-1.1574999999999918
bajitan_gobi,Bajitan Gobi,八一滩戈壁,midstream,Reaumuria desert,2014,through_2020,119,119,19,119,0.8749999999999982,1.372000000000004,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,40.7575,37.92,-2.8374999999999986
barren_land,Barren Land,裸地,downstream,bare land,2013,through_2020,39,85,14,85,5.189999999999998,6.098000000000002,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,38.70625,40.085,1.3787500000000037
barren_land,Barren Land,裸地,downstream,bare land,2015,through_2020,127,127,19,127,0.5770100000000014,0.9918950000000004,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,44.3054678125,38.515,-5.7904678124999975
cropland,Cropland,农田,downstream,melon,2013,through_2020,105,105,15,105,0.1300000000000007,0.4329999999999991,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,28.56107142857143,40.085,11.52392857142857
cropland,Cropland,农田,downstream,melon,2014,through_2020,94,94,19,94,0.3550000000000004,0.895749999999998,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,30.4365,40.19499999999999,9.758499999999994
daman,Daman,大满,midstream,maize,2013,through_2020,111,111,19,111,0.2899999999999991,0.6099999999999977,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,29.181,29.61,0.4289999999999985
daman,Daman,大满,midstream,maize,2014,through_2020,111,111,19,111,0.3499999999999978,0.6575000000000006,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,24.59875,26.44,1.8412500000000025
daman,Daman,大满,midstream,maize,2015,through_2020,115,115,19,115,0.2349999999999994,0.4529999999999992,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,25.91464285714286,26.55,0.6353571428571421
daman,Daman,大满,midstream,maize,2016,through_2020,111,111,19,111,0.4800000000000004,1.0925000000000011,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,25.863999999999997,28.41,2.546000000000003
daman,Daman,大满,midstream,maize,2017,through_2020,100,100,19,100,0.3575000000000004,0.9015000000000002,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,27.11,26.22,-0.8900000000000006
daman,Daman,大满,midstream,maize,2018,through_2020,65,65,14,65,0.6650000000000009,1.1129999999999995,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,27.579458333333335,28.45,0.8705416666666643
daman,Daman,大满,midstream,maize,2019,through_2020,110,110,19,110,0.2519624999999994,0.5780884999999998,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,26.519033,27.64,1.1209670000000005
daman,Daman,大满,midstream,maize,2020,through_2020,118,118,19,118,0.1523550000000008,0.3683102499999983,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,26.712167499999996,27.7,0.9878325000000032
daman,Daman,大满,midstream,maize,2021,2021_2024,110,110,19,110,0.3117400000000003,1.0064632500000006,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,29.25240416666667,28.39,-0.8624041666666677
daman,Daman,大满,midstream,maize,2022,2021_2024,104,104,19,104,0.7600449999999999,1.946365500000001,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,28.3068746875,28.49,0.1831253124999996
daman,Daman,大满,midstream,maize,2023,2021_2024,119,119,19,119,0.6815899999999999,1.9187475000000005,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,30.397785833333337,29.05,-1.3477858333333366
daman,Daman,大满,midstream,maize,2024,2021_2024,103,103,19,103,0.9399999999999976,2.204095999999999,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,29.875,28.28,-1.5949999999999989
dashalong,Dashalong,大沙龙,upstream,marsh alpine meadow,2014,through_2020,126,126,19,126,0.3200000000000003,0.63175,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,22.2890625,18.88,-3.409062500000001
dashalong,Dashalong,大沙龙,upstream,marsh alpine meadow,2015,through_2020,126,126,19,126,0.8774999999999995,1.6537499999999987,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,20.046208333333333,19.16,-0.8862083333333324
dashalong,Dashalong,大沙龙,upstream,marsh alpine meadow,2016,through_2020,122,127,19,127,1.2050000000000018,4.7620000000000005,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,23.980625,20.17,-3.810624999999998
dashalong,Dashalong,大沙龙,upstream,marsh alpine meadow,2017,through_2020,119,121,19,121,1.8950000000000005,4.504999999999998,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,20.744583333333335,19.04,-1.7045833333333356
dashalong,Dashalong,大沙龙,upstream,marsh alpine meadow,2018,through_2020,112,120,19,120,2.769999999999999,5.283000000000001,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,21.933333333333337,21.39,-0.5433333333333366
dashalong,Dashalong,大沙龙,upstream,marsh alpine meadow,2019,through_2020,125,125,19,125,0.4849999999999994,0.8672000000000003,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,21.87139285714286,20.3,-1.571392857142861
dashalong,Dashalong,大沙龙,upstream,marsh alpine meadow,2020,through_2020,125,125,19,125,0.7200000000000006,1.3640000000000008,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,21.729166666666668,19.94,-1.7891666666666666
dashalong,Dashalong,大沙龙,upstream,marsh alpine meadow,2021,2021_2024,122,122,19,122,0.9500000000000012,1.7642499999999988,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,21.801785714285717,20.22,-1.5817857142857186
