product,window,sites,years,n,pearson_r,rmse_c,mae_c,bias_c,ubrmse_c,pearson_r_ci_low,pearson_r_ci_high,rmse_c_ci_low,rmse_c_ci_high,mae_c_ci_low,mae_c_ci_high,bias_c_ci_low,bias_c_ci_high
ChinaTherm30,center,23,16,131,0.8202305979338355,5.7776418471002255,4.5383505772900765,0.8892982574063978,5.7087909335285385,0.6477915864641206,0.9237655377617692,3.999528418498158,7.243696054010275,3.142331537747663,6.036586278108661,-1.9183492681784609,3.3669084596533385
ChinaTherm30,3x3,23,16,131,0.8399103706445319,5.396934345042756,4.134810505725191,0.5602906238186119,5.367771860051713,0.6814377344222848,0.930662137413327,3.639645124844089,6.787562285494406,2.7423022514499915,5.591396438493137,-1.9597218203246571,2.852080544956848
ChinaTherm30,5x5,23,16,131,0.8479991377046854,5.247772428066694,4.02884771946565,0.5082295551163216,5.223104266246585,0.7037221395637042,0.9308895074985246,3.6765210801436514,6.647760762485397,2.807233652296804,5.449139751909749,-1.9653543846990609,2.710402343819925
ChinaTherm30,9x9,23,16,131,0.8507915097667,5.129850794197947,3.9306797805343514,0.3483822268720468,5.118007326561087,0.703942339048434,0.9339957809830286,3.598460270028821,6.531160375672687,2.736754026066156,5.281716777490659,-1.9991086183880664,2.3737438797727424
ChinaTherm30,33x33,23,16,131,0.8318848160454698,5.180882483817481,3.7650421362686295,-0.7558162464103962,5.125454624985855,0.642012737747426,0.9401965070241544,3.2209232667959355,7.548374339122786,2.564793218043755,5.6538776077004185,-3.3897704313699903,1.1005616786470085
RF-LST,center,23,16,131,0.8193327563607661,5.912894207652079,4.60973044529262,1.3605959673300618,5.7542242330804845,0.6337150208229745,0.9258840804212864,3.9652821390346777,7.587293650818825,3.1045594070416125,6.328231718020143,-1.4056492224602712,3.924932163149561
RF-LST,3x3,23,16,131,0.8396754600367042,5.495390356064796,4.205579954561978,1.0316265016812072,5.397690425224381,0.684912374080444,0.9360599491050884,3.730222665213053,6.920004218501843,2.803200243110884,5.688014013336246,-1.5769424895536417,3.4813610826057277
RF-LST,5x5,23,16,131,0.8478405443881942,5.341685397596875,4.078763160668848,0.9795272650399856,5.251107428337662,0.6887791957293611,0.9380120350965248,3.772058052484688,6.69048443606141,2.82588032384078,5.393420863115711,-1.3256196939157563,3.236134844482036
RF-LST,9x9,23,16,131,0.8504636285887909,5.212835212558657,3.9673793002544535,0.8195272650399857,5.148011850719415,0.7030410892785116,0.935405105599766,3.591901643887649,6.560210054939548,2.714572452007929,5.340214190542507,-1.6081111207736751,2.87368253869181
RF-LST,33x33,23,16,131,0.8325178565569205,5.13827906636793,3.704292050845148,-0.2838315135859687,5.130433844790359,0.6322117784255189,0.9440882880127752,3.229839037457068,7.436010098281475,2.514714765608515,5.46206264539243,-2.8125360551726484,1.6007774228893925
