lon_bin,lat_bin,valid_sample_year_n,unique_candidate_n,sampled_year_n,grid_size_deg
108,18,173,10,25,1
109,18,349,34,25,1
110,18,136,11,25,1
108,19,149,7,24,1
109,19,340,22,24,1
110,19,498,34,25,1
111,19,7,1,7,1
109,20,67,4,23,1
110,20,144,11,25,1
99,21,37,5,16,1
100,21,151,27,21,1
101,21,173,29,24,1
106,21,12,1,12,1
107,21,383,37,24,1
108,21,207,20,21,1
109,21,356,28,25,1
110,21,343,36,23,1
111,21,208,20,25,1
112,21,286,25,24,1
113,21,26,3,17,1
114,21,12,2,8,1
120,21,55,5,21,1
99,22,169,28,22,1
100,22,71,14,21,1
101,22,47,10,19,1
102,22,28,5,15,1
103,22,135,10,25,1
104,22,7,1,7,1
106,22,36,6,17,1
107,22,189,17,24,1
108,22,134,9,24,1
109,22,267,16,25,1
110,22,87,8,22,1
111,22,253,21,24,1
112,22,239,17,25,1
113,22,128,13,23,1
114,22,106,8,22,1
115,22,41,3,22,1
116,22,15,1,15,1
120,22,613,33,24,1
121,22,94,5,24,1
97,23,78,5,24,1
98,23,18,6,8,1
99,23,261,32,25,1
100,23,85,13,22,1
101,23,69,10,23,1
102,23,125,15,24,1
103,23,134,14,24,1
104,23,58,22,17,1
105,23,97,12,22,1
106,23,163,17,25,1
107,23,171,16,22,1
108,23,262,17,25,1
109,23,168,10,25,1
110,23,229,16,25,1
111,23,316,17,25,1
112,23,174,14,24,1
113,23,213,15,24,1
114,23,216,14,25,1
115,23,286,22,25,1
116,23,534,31,25,1
117,23,179,8,25,1
119,23,5,1,5,1
120,23,1109,57,25,1
121,23,581,31,25,1
97,24,208,23,24,1
98,24,169,26,23,1
99,24,316,34,25,1
100,24,95,15,20,1
101,24,41,10,18,1
102,24,115,17,24,1
103,24,61,12,21,1
104,24,70,13,21,1
105,24,244,24,24,1
106,24,225,23,24,1
107,24,143,17,24,1
108,24,220,17,24,1
109,24,228,14,23,1
110,24,147,11,25,1
111,24,301,19,25,1
112,24,253,22,24,1
113,24,273,18,25,1
114,24,242,20,24,1
115,24,208,16,24,1
116,24,452,27,25,1
117,24,431,22,25,1
118,24,220,14,23,1
120,24,457,22,25,1
121,24,938,57,25,1
97,25,33,5,16,1
98,25,238,32,23,1
99,25,207,33,23,1
100,25,190,18,24,1
101,25,191,17,25,1
102,25,73,8,23,1
103,25,47,14,15,1
104,25,116,21,21,1
105,25,148,16,24,1
106,25,93,13,22,1
107,25,123,14,22,1
108,25,259,25,24,1
109,25,110,10,21,1
110,25,204,14,23,1
111,25,214,15,25,1
112,25,188,14,25,1
113,25,176,13,24,1
114,25,187,10,25,1
115,25,246,15,24,1
116,25,517,32,25,1
117,25,685,43,25,1
118,25,620,39,25,1
119,25,224,14,25,1
121,25,139,9,23,1
92,26,42,3,19,1
93,26,26,2,18,1
98,26,48,5,18,1
99,26,144,20,24,1
100,26,116,13,22,1
101,26,178,13,25,1
102,26,129,12,24,1
103,26,118,10,25,1
104,26,126,17,22,1
105,26,83,13,23,1
106,26,49,9,20,1
107,26,142,18,24,1
108,26,171,16,24,1
109,26,174,12,24,1
110,26,210,18,25,1
111,26,197,12,25,1
112,26,274,14,25,1
113,26,327,22,25,1
114,26,151,13,25,1
115,26,333,18,25,1
116,26,298,14,25,1
117,26,204,14,25,1
118,26,279,14,25,1
119,26,273,14,25,1
120,26,133,6,25,1
85,27,20,1,20,1
86,27,8,1,8,1
87,27,16,4,6,1
88,27,37,5,19,1
89,27,88,7,23,1
91,27,200,26,24,1
92,27,82,16,20,1
93,27,289,28,24,1
94,27,89,13,23,1
95,27,37,3,19,1
96,27,49,3,24,1
97,27,17,3,12,1
98,27,81,10,23,1
99,27,104,18,20,1
100,27,227,19,25,1
101,27,130,15,24,1
102,27,170,19,24,1
103,27,196,16,25,1
104,27,242,13,24,1
105,27,304,19,24,1
106,27,148,15,23,1
107,27,114,15,24,1
